---------------------------------------- 
Reaction: e+N(D0)->e+N2(D0)               
Type: Ground/MomXfer            
Delta(eV): 0.00           
Mass(AMU): (5.4858E-4:14.0)->(5.4858E-4:14.0)
Charge: (-1:0)->(-1:0)              
#  C1    N    Elastic                  
#  Energy (eV)	Rate coefficient (m3/s)
---------------------------------------- 
<E>(eV)          Rate_Constant(cm^3/s)
<E>(eV)          Rate_Constant(cm^3/s)                             
1.214	0.000
1.248	0.4079E-25
1.285	0.3806E-24
1.326	0.3024E-23
1.371	0.1958E-22
1.420	0.1090E-21
1.476	0.5238E-21
1.537	0.2225E-20
1.606	0.8398E-20
1.685	0.2852E-19
1.774	0.8820E-19
1.877	0.2513E-18
1.997	0.6553E-18
2.137	0.1576E-17
2.301	0.3539E-17
2.492	0.7442E-17
2.715	0.1458E-16
2.971	0.2676E-16
3.261	0.4638E-16
3.584	0.7626E-16
3.938	0.1184E-15
4.320	0.1765E-15
4.730	0.2538E-15
5.163	0.3508E-15
5.616	0.4688E-15
6.098	0.6139E-15
6.603	0.7837E-15
7.137	0.9814E-15
7.705	0.1208E-14
8.311	0.1466E-14
8.960	0.1756E-14
9.662	0.2080E-14
10.43	0.2439E-14
11.26	0.2835E-14
12.17	0.3269E-14
13.17	0.3739E-14
14.29	0.4250E-14
15.52	0.4796E-14
16.89	0.5381E-14
18.42	0.6001E-14
20.13	0.6653E-14
22.06	0.7338E-14
24.24	0.8049E-14
26.69	0.8781E-14
29.50	0.9538E-14
32.68	0.1030E-13
36.33	0.1107E-13
40.53	0.1184E-13
45.41	0.1259E-13
51.12	0.1333E-13
57.85	0.1404E-13
65.86	0.1470E-13
75.48	0.1532E-13
87.15	0.1586E-13
101.6	0.1634E-13
---------------------------------------- 
Reaction: e+N(D0)->e+N2(2p2_3P_3s_2Pe)
Type: Excitation
Delta(eV): 10.77          
Mass(AMU): (5.4858E-4:14.0)->(5.4858E-4:14.0)
Charge: (-1:0)->(-1:0)              
#  C5    N    Excitation    10.77 eV  
#  Energy (eV)	Rate coefficient (m3/s)
---------------------------------------- 
<E>(eV)          Rate_Constant(cm^3/s)  
1.214	0.000
1.248	0.1971E-26
1.285	0.2094E-25
1.326	0.1965E-24
1.371	0.1418E-23
1.420	0.8683E-23
1.476	0.4530E-22
1.537	0.2064E-21
1.606	0.8261E-21
1.685	0.2944E-20
1.774	0.9452E-20
1.877	0.2769E-19
1.997	0.7359E-19
2.137	0.1786E-18
2.301	0.4017E-18
2.492	0.8389E-18
2.715	0.1620E-17
2.971	0.2909E-17
3.261	0.4902E-17
3.584	0.7784E-17
3.938	0.1161E-16
4.320	0.1653E-16
4.730	0.2259E-16
5.163	0.2955E-16
5.616	0.3721E-16
6.098	0.4575E-16
6.603	0.5464E-16
7.137	0.6381E-16
7.705	0.7306E-16
8.311	0.8221E-16
8.960	0.9108E-16
9.662	0.9955E-16
10.43	0.1076E-15
11.26	0.1149E-15
12.17	0.1215E-15
13.17	0.1273E-15
14.29	0.1322E-15
15.52	0.1360E-15
16.89	0.1390E-15
18.42	0.1408E-15
20.13	0.1416E-15
